pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"Kepler-42 d",,,,,,
"Kepler-758 e",,,,,,
"Kepler-1620 b",,,,,,
"Kepler-729 b",,,,,,
"Kepler-580 b",,"18.6492000&plusmn;0.0198844","16.1402000&plusmn;0.0038213","14.9160000&plusmn;0.0028445","14.4551000&plusmn;0.0029746","14.1844000&plusmn;0.0044513"
"Kepler-736 b",,,,,,
"Kepler-1326 b",,,,,,
"Kepler-1161 b",,,,,,
"Kepler-1221 b",,,,,,
"CoRoT-23 b",,,,,,
"Kepler-1602 b",,,,,,
"Kepler-1413 b",,,,,,
"Kepler-1436 b",,,,,,
"Kepler-1465 b",,,,,,
"Kepler-116 c",,,,,,
"Kepler-1595 b",,,,,,
"Kepler-1294 b",,,,,,
"Kepler-230 b",,,,,,
"Kepler-1065 b",,,,,,
"Kepler-421 b",,,,,,
"Kepler-939 b",,,,,,
"K2-151 b",,"17.5194000&plusmn;0.0128086","15.2151000&plusmn;0.0032983","14.5905000&plusmn;0.0110489","15.7528000&plusmn;0.0140777","12.440600&plusmn;0.004563"
"Kepler-389 c",,,,,,
"Kepler-732 c",,,,,,
"Kepler-745 b",,"17.1908000&plusmn;0.0088178","15.6542000&plusmn;0.0032241","15.1154000&plusmn;0.0032255","14.9422000&plusmn;0.0036657","14.8472000&plusmn;0.0048671"
"Kepler-342 d",,,,,,
"Kepler-114 c",,,,,,
"Kepler-153 b",,,,,,
"Kepler-682 b",,,,,,
"Kepler-132 d",,,,,,
"Kepler-246 b",,,,,,
"Kepler-755 c",,,,,,
"Kepler-1103 b",,,,,,
"Kepler-1272 b",,"16.2910000&plusmn;0.0059719","14.8406000&plusmn;0.0030665","14.336000&plusmn;0.003515","14.1554000&plusmn;0.0042313","14.0949000&plusmn;0.0038007"
"Kepler-1385 b",,,,,,
"Kepler-1389 b",,,,,,
"Kepler-226 b",,,,,,
"Kepler-1559 b",,,,,,
"Kepler-938 b",,,,,,
"Kepler-688 b",,,,,,
"Kepler-868 b",,,,,,
"Kepler-1097 b",,,,,,
"Kepler-826 b",,"12.4423000&plusmn;0.0118501","13.989000&plusmn;0.003599","14.1192000&plusmn;0.0024719","13.7557000&plusmn;0.0036369","12.6571000&plusmn;0.0046686"
"Kepler-268 b",,"15.6097000&plusmn;0.0051933","14.4736000&plusmn;0.0037165","14.8699000&plusmn;0.0101619","13.9001000&plusmn;0.0038006","13.9223000&plusmn;0.0050486"
"Kepler-354 d",,,,,,
"Kepler-1092 b",,,,,,
"Kepler-289 d",,,,,,
"Kepler-374 c",,,,,,
"Kepler-811 b",,,,,,
"Kepler-1546 b",,,,,,
"Kepler-524 b",,,,,,
"Kepler-986 b",,,,,,
"Kepler-1360 b",,,,,,
"Kepler-704 b",,,,,,
"Kepler-749 b",,,,,,
"Kepler-1333 b",,,,,,
"Kepler-356 c",,"15.1396000&plusmn;0.0053606","14.6274000&plusmn;0.0065399","13.0849000&plusmn;0.0017654","14.4178000&plusmn;0.0106373","13.5573000&plusmn;0.0056004"
"Kepler-1426 b",,,,,,
"Kepler-1150 b",,,,,,
"Kepler-1386 b",,,,,,
"Kepler-1285 b",,,,,,
"Kepler-264 c",,"15.0281000&plusmn;0.0046098","13.6810000&plusmn;0.0040768","13.9777000&plusmn;0.0088479","15.5291000&plusmn;0.0127702","12.9535000&plusmn;0.0041488"
"Kepler-280 c",,,,,,
"Kepler-1295 b",,,,,,
"Kepler-217 b",,,,,,
"Kepler-388 b",,,,,,
"Kepler-1391 b",,,,,,
"Kepler-684 b",,"17.6611000&plusmn;0.0115511","16.0835000&plusmn;0.0033594","15.5029000&plusmn;0.0032016","15.3045000&plusmn;0.0032873","15.2223000&plusmn;0.0048954"
"Kepler-183 b",,,,,,
"Kepler-1273 b",,,,,,
"Kepler-502 b",,,,,,
"Kepler-28 b",,,,,,
"Kepler-166 b",,,,,,
"Kepler-810 b",,,,,,
"Kepler-732 c",,,,,,
"Kepler-558 b",,,,,,
"Kepler-675 b",,,,,,
"Kepler-800 b",,,,,,
"Kepler-148 b",,,,,,
"Kepler-793 b",,,,,,
"Kepler-355 b",,,,,,
"Kepler-1477 b",,,,,,
"Kepler-163 c",,,,,,
"Kepler-707 b",,,,,,
"Kepler-1331 b",,,,,,
"Kepler-299 b",,,,,,
"Kepler-1166 b",,,,,,
"Kepler-1227 b",,,,,,
"Kepler-304 e",,,,,,
"Kepler-1258 b",,,,,,
"Kepler-1299 b",,,,,,
"Kepler-315 c",,,,,,
"Kepler-1546 b",,,,,,
"Kepler-1557 b",,,,,,
"Kepler-342 e",,,,,,
"Kepler-299 e",,,,,,
"K2-279 b",,,,,,
"Kepler-327 b",,,,,,
"Kepler-296 d",,,,,,
"Kepler-303 b",,,,,,
"Kepler-1442 b",,,,,,
"Kepler-357 d",,,,,,
"Kepler-1408 b",,,,,,
"Kepler-1451 b",,,,,,
"Kepler-359 d",,,,,,
"Kepler-995 b",,,,,,
"Kepler-956 b",,,,,,
"Kepler-816 b",,,,,,
"Kepler-285 b",,,,,,
"Kepler-183 b",,,,,,
"Kepler-1032 b",,,,,,
"Kepler-807 b",,,,,,
"Kepler-597 b",,,,,,
"Kepler-23 c",,,,,,
"Kepler-169 e",,,,,,
"Kepler-722 b",,,,,,
"Kepler-463 b",,,,,,
"Kepler-310 d",,,,,,
"Kepler-1537 b",,,,,,
"Kepler-1625 b",,,,,,
"Kepler-1636 b",,,,,,
"Kepler-230 c",,,,,,
"Kepler-1192 b",,,,,,
"Kepler-1356 b",,,,,,
"Kepler-231 c",,,,,,
"Kepler-361 b",,,,,,
"Kepler-791 b",,,,,,
"Kepler-1544 b",,,,,,
"Kepler-1252 b",,,,,,
"Kepler-235 c",,"19.885200&plusmn;0.042516","17.2989000&plusmn;0.0046179","15.9719000&plusmn;0.0039174","15.4016000&plusmn;0.0040805","15.1016000&plusmn;0.0049271"
"Kepler-1327 b",,,,,,
"Kepler-499 b",,,,,,
"Kepler-182 c",,,,,,
"Kepler-669 b",,,,,,
"Kepler-556 b",,"15.9438000&plusmn;0.0054998","14.533100&plusmn;0.002785","14.0518000&plusmn;0.0029509","13.9111000&plusmn;0.0031146","13.8491000&plusmn;0.0035352"
"Kepler-1024 b",,"18.5219000&plusmn;0.0183977","16.6632000&plusmn;0.0038527","15.9662000&plusmn;0.0035777","15.7290000&plusmn;0.0038528","15.567400&plusmn;0.005902"
"Kepler-625 b",,,,,,
"Kepler-260 b",,"16.4332000&plusmn;0.0068503","14.9118000&plusmn;0.0034831","14.8396000&plusmn;0.0101848","14.1150000&plusmn;0.0035839","14.0810000&plusmn;0.0046611"
"Kepler-1123 b",,,,,,
"Kepler-293 c",,,,,,
"Kepler-191 c",,,,,,
"Kepler-350 b",,"15.6513000&plusmn;0.0054027","14.2992000&plusmn;0.0032002","13.7507000&plusmn;0.0062731","16.3381000&plusmn;0.0158229","13.7264000&plusmn;0.0051856"
"Kepler-1132 b",,,,,,
"Kepler-1190 b",,,,,,
"Kepler-357 b",,,,,,
"Kepler-370 c",,,,,,
"Kepler-882 b",,,,,,
"Kepler-907 b",,,,,,
"Kepler-609 b",,,,,,
"Kepler-875 b",,,,,,
"Kepler-727 b",,,,,,
"Kepler-440 b",,,,,,
"Kepler-1526 b",,"19.1713000&plusmn;0.0243081","16.6765000&plusmn;0.0039096","15.5957000&plusmn;0.0037379","15.2052000&plusmn;0.0043504","14.9897000&plusmn;0.0047512"
"Kepler-1581 b",,"14.8749000&plusmn;0.0053259","13.1028000&plusmn;0.0015271","12.4370000&plusmn;0.0008877","12.4466000&plusmn;0.0015703","13.4031000&plusmn;0.0066557"
"Kepler-551 b",,,,,,
"Kepler-508 b",,,,,,
"Kepler-573 b",,,,,,
"Kepler-516 b",,,,,,
"Kepler-992 b",,,,,,
"Kepler-287 b",,,,,,
"Kepler-937 b",,,,,,
"Kepler-680 b",,,,,,
"Kepler-250 c",,,,,,
"Kepler-1477 b",,,,,,
"Kepler-991 b",,,,,,
"Kepler-1414 b",,,,,,
"Kepler-1372 b",,,,,,
"Kepler-502 b",,,,,,
"Kepler-1240 b",,"16.1078000&plusmn;0.0057207","14.4875000&plusmn;0.0033072","13.8883000&plusmn;0.0026044","14.0550000&plusmn;0.0064269","13.6361000&plusmn;0.0039493"
"Kepler-1448 b",,,,,,
"Kepler-343 c",,,,,,
"Kepler-217 c",,,,,,
"Kepler-625 b",,,,,,
"Kepler-211 c",,,,,,
"Kepler-857 b",,,,,,
"Kepler-306 e",,,,,,
"Kepler-906 b",,,,,,
"Kepler-302 b",,,,,,
"Kepler-1250 b",,,,,,
"Kepler-194 b",,,,,,
"Kepler-801 b",,,,,,
"Kepler-653 c",,,,,,
"Kepler-1497 b",,,,,,
"Kepler-371 c",,,,,,
"Kepler-1506 b",,,,,,
"Kepler-1551 b",,,,,,
"Kepler-472 b",,,,,,
"Kepler-218 d",,,,,,
"Kepler-773 b",,"15.9260000&plusmn;0.0064237","14.7704000&plusmn;0.0053603","15.2183000&plusmn;0.0115028","14.5816000&plusmn;0.0137985","13.8746000&plusmn;0.0062531"
"Kepler-859 b",,,,,,
"Kepler-244 c",,,,,,
"Kepler-1022 b",,,,,,
"Kepler-118 c",,,,,,
"Kepler-40 b",,,,,,
"Kepler-279 d",,,,,,
"Kepler-1231 b",,,,,,
"Kepler-248 c",,,,,,
"Kepler-599 b",,,,,,
"Kepler-206 b",,,,,,
"Kepler-157 d",,"15.8161000&plusmn;0.0052361","14.4421000&plusmn;0.0028484","13.9788000&plusmn;0.0028292","13.8306000&plusmn;0.0028707","13.7869000&plusmn;0.0035261"
"Kepler-345 c",,,,,,
"Kepler-1582 b",,,,,,
"Kepler-976 b",,,,,,
"Kepler-901 b",,,,,,
"CoRoT-26 b","G5",,,,,
"Kepler-692 b",,,,,,
"CoRoT-10 b",,,,,,
"Kepler-632 b",,,,,,
"Kepler-214 b",,,,,,
"Kepler-277 b",,"15.4529000&plusmn;0.0050516","14.7235000&plusmn;0.0073722","13.5345000&plusmn;0.0027619","13.8836000&plusmn;0.0078236","13.4571000&plusmn;0.0046273"
"Kepler-481 b",,,,,,
"Kepler-1160 b",,,,,,
"Kepler-1273 b",,,,,,
"Kepler-319 d",,,,,,
"Kepler-122 d",,,,,,
"Kepler-893 b",,,,,,
"Kepler-272 b",,,,,,
"Kepler-1138 b",,,,,,
"Kepler-1594 b",,,,,,
"Kepler-1537 b",,,,,,
"Kepler-1234 b",,,,,,
"Kepler-235 c",,"19.885200&plusmn;0.042516","17.2989000&plusmn;0.0046179","15.9719000&plusmn;0.0039174","15.4016000&plusmn;0.0040805","15.1016000&plusmn;0.0049271"
"Kepler-398 c",,,,,,
"Kepler-355 c",,,,,,
"Kepler-386 c",,,,,,
"Kepler-237 b",,"18.4376000&plusmn;0.0166424","16.104400&plusmn;0.003795","15.2059000&plusmn;0.0040449","14.9108000&plusmn;0.0043079","14.767100&plusmn;0.005111"
"Kepler-24 e",,,,,,
"Kepler-1527 b",,,,,,
"Kepler-310 c",,,,,,
"Kepler-1571 b",,,,,,
"Kepler-920 c",,,,,,
"Kepler-169 b",,,,,,
"Kepler-29 c",,,,,,
"Kepler-1201 b",,,,,,
"Kepler-982 b",,,,,,
"Kepler-295 b",,,,,,
"Kepler-466 c",,,,,,
"Kepler-943 b",,,,,,
"Kepler-1063 b",,,,,,
"Kepler-823 b",,,,,,
"Kepler-160 b",,,,,,
"Kepler-473 b",,"15.5037000&plusmn;0.0047621","14.1422000&plusmn;0.0035397","14.2481000&plusmn;0.0104662","14.4812000&plusmn;0.0099882","13.1917000&plusmn;0.0040073"
"Kepler-1479 b",,,,,,
"Kepler-182 c",,,,,,
"Kepler-1331 b",,,,,,
"Kepler-969 c",,,,,,
"Kepler-585 b",,,,,,
"Kepler-201 c",,,,,,
"Kepler-546 b",,,,,,
"Kepler-35 b",,,,,,
"Kepler-111 c",,,,,,
"K2-288 B b",,,,,,
"Kepler-368 b",,,,,,
"Kepler-304 c",,,,,,
"Kepler-568 b",,,,,,
"Kepler-524 b",,,,,,
"Kepler-1109 b",,,,,,
"Kepler-1026 b",,"17.0277000&plusmn;0.0081914","14.947600&plusmn;0.003306","14.1144000&plusmn;0.0027325","13.8352000&plusmn;0.0035617","13.6820000&plusmn;0.0041509"
"Kepler-154 c",,,,,,
"Kepler-931 b",,,,,,
"Kepler-161 c",,,,,,
"Kepler-610 c",,,,,,
"Kepler-937 c",,,,,,
"Kepler-143 b",,,,,,
"Kepler-1556 b",,,,,,
"Kepler-137 b",,,,,,
"Kepler-247 c",,,,,,
"Kepler-154 d",,,,,,
"Kepler-42 d",,,,,,
"Kepler-361 c",,,,,,
"Kepler-250 d",,,,,,
"Kepler-265 d",,,,,,
"Kepler-1287 b",,,,,,
"Kepler-115 b",,,,,,
"Kepler-1291 b",,,,,,
"Kepler-1013 b",,,,,,
"Kepler-912 b",,,,,,
"Kepler-187 b",,,,,,
"Kepler-101 b",,,,,,
"Kepler-1034 b",,"17.6459000&plusmn;0.0102992","15.7293000&plusmn;0.0031584","14.9999000&plusmn;0.0031816","14.7658000&plusmn;0.0033349","14.61940&plusmn;0.00399"
"Kepler-235 c",,"19.885200&plusmn;0.042516","17.2989000&plusmn;0.0046179","15.9719000&plusmn;0.0039174","15.4016000&plusmn;0.0040805","15.1016000&plusmn;0.0049271"
"Kepler-316 c",,,,,,
"Kepler-811 b",,,,,,
"Kepler-528 b",,,,,,
"Kepler-639 b",,,,,,
"Kepler-539 b",,,,,,
"CoRoT-4 b",,"15.5452000&plusmn;0.0052072","14.3082000&plusmn;0.0040928","15.1978000&plusmn;0.0123776","14.073900&plusmn;0.012555","13.7405000&plusmn;0.0045871"
"Kepler-209 b",,,,,,
"Kepler-180 c",,,,,,
"K2-292 b","G3 V",,,,,
"Kepler-232 b",,,,,,
"Kepler-399 c",,,,,,
"Kepler-1115 b",,,,,,
"Kepler-494 b",,,,,,
"Kepler-320 c",,,,,,
"Kepler-150 c",,,,,,
"K2-33 b","M3","19.5515000&plusmn;0.0460253","16.4520000&plusmn;0.0040676","14.8454000&plusmn;0.0037485","13.668100&plusmn;0.000602","12.6126000&plusmn;0.0039562"
"Kepler-363 d",,"15.8970000&plusmn;0.0063487","15.8793000&plusmn;0.0121241","13.3834000&plusmn;0.0025119","13.2330000&plusmn;0.0017851","13.4350000&plusmn;0.0059958"
"Kepler-285 c",,,,,,
"Kepler-1152 b",,,,,,
"Kepler-1191 b",,,,,,
"Kepler-392 c",,,,,,
"Kepler-296 e",,,,,,
"Kepler-402 d",,,,,,
"Kepler-379 c",,,,,,
"Kepler-758 d",,,,,,
"Kepler-556 b",,"15.9438000&plusmn;0.0054998","14.533100&plusmn;0.002785","14.0518000&plusmn;0.0029509","13.9111000&plusmn;0.0031146","13.8491000&plusmn;0.0035352"
"Kepler-1260 b",,,,,,
"Kepler-636 b",,,,,,
"Kepler-601 b",,,,,,
"Kepler-225 c",,,,,,
"Kepler-1486 b",,,,,,
"KOI-1257 b",,,,,,
"Kepler-213 c",,,,,,
"Kepler-480 b",,,,,,
"Kepler-276 b",,,,,,
"Kepler-682 b",,,,,,
"Kepler-1628 b",,,,,,
"Kepler-364 c",,,,,,
"Kepler-590 b",,,,,,
"Kepler-186 d",,,,,,
"Kepler-1094 b",,"16.6915000&plusmn;0.0076133","15.3674000&plusmn;0.0030424","14.9064000&plusmn;0.0031672","14.7587000&plusmn;0.0031319","14.6935000&plusmn;0.0044053"
"Kepler-560 b",,,,,,
"Kepler-1376 b",,,,,,
"Kepler-675 b",,,,,,
"Kepler-809 b",,,,,,
"Kepler-908 b",,,,,,
"Kepler-1295 b",,,,,,
"Kepler-1405 b",,,,,,
"Kepler-1313 b",,,,,,
"Kepler-299 b",,,,,,
"Kepler-1192 b",,,,,,
"Kepler-536 b",,,,,,
"Kepler-774 b",,"14.9389000&plusmn;0.0049809","14.5235000&plusmn;0.0064155","12.8896000&plusmn;0.0016875","13.1165000&plusmn;0.0032472","13.4442000&plusmn;0.0056774"
"Kepler-369 b",,,,,,
"Kepler-195 c",,,,,,
"Kepler-1481 b",,,,,,
"Kepler-274 c",,,,,,
"Kepler-261 b",,"16.1260000&plusmn;0.0061588","14.2516000&plusmn;0.0031631","12.1978000&plusmn;0.0022747","15.7464000&plusmn;0.0135906","13.1533000&plusmn;0.0036238"
"Kepler-227 c",,,,,,
"Kepler-1436 b",,,,,,
"Kepler-1354 b",,"16.0413000&plusmn;0.0059022","14.7120000&plusmn;0.0029087","14.2672000&plusmn;0.0028809","14.1052000&plusmn;0.0028962","14.0603000&plusmn;0.0037579"
"Kepler-345 c",,,,,,
"Kepler-1359 b",,,,,,
"Kepler-693 b",,"19.5382000&plusmn;0.0309877","17.243900&plusmn;0.004629","16.3505000&plusmn;0.0044735","16.041800&plusmn;0.004789","15.8571000&plusmn;0.0070963"
"Kepler-1004 b",,,,,,
"Kepler-891 b",,,,,,
"Kepler-592 b",,,,,,
"Kepler-174 b",,,,,,
"OGLE-2015-BLG-1670L b",,,,,,
"OGLE-2015-BLG-1670L b",,,,,,
"OGLE-2015-BLG-1670L b",,,,,,
"Kepler-571 b",,,,,,
"Kepler-1365 b",,,,,,
"Kepler-1481 b",,,,,,
"Kepler-1335 b",,,,,,
"Kepler-1177 b",,,,,,
"Kepler-1522 b",,,,,,
"Kepler-985 b",,,,,,
"Kepler-1634 b",,,,,,
"Kepler-1416 b",,,,,,
"Kepler-1618 b",,,,,,
"Kepler-1637 b",,,,,,
"Kepler-517 b",,,,,,
"Kepler-1614 b",,,,,,
"Kepler-1645 b",,,,,,
"Kepler-1449 b",,,,,,
"Kepler-296 f",,,,,,
"Kepler-1224 b",,,,,,
"Kepler-1175 b",,,,,,
"Kepler-823 b",,,,,,
"Kepler-1054 b",,,,,,
"Kepler-709 b",,,,,,
"Kepler-719 b",,,,,,
"Kepler-836 b",,,,,,
"Kepler-705 b",,,,,,
"Kepler-554 b",,,,,,
"Kepler-1533 b",,,,,,
"Kepler-1139 b",,"16.7974000&plusmn;0.0075756","15.0002000&plusmn;0.0032924","14.0942000&plusmn;0.0054573","14.0727000&plusmn;0.0037253","13.9627000&plusmn;0.0043235"
"Kepler-1446 b",,,,,,
"Kepler-247 b",,,,,,
"Kepler-376 b",,"15.4435000&plusmn;0.0045307","14.1804000&plusmn;0.0029458","12.5531000&plusmn;0.0023992","15.5933000&plusmn;0.0133143","13.578700&plusmn;0.004189"
"Kepler-439 b",,,,,,
"Kepler-251 e",,,,,,
"Kepler-1093 c",,,,,,
"Kepler-310 d",,,,,,
"Kepler-585 b",,,,,,
"Kepler-1018 b",,,,,,
"Kepler-1118 b",,,,,,
"Kepler-309 b",,,,,,
"Kepler-846 b",,,,,,
"Kepler-901 b",,,,,,
"Kepler-337 b",,,,,,
"Kepler-624 b",,,,,,
"Kepler-184 b",,,,,,
"Kepler-644 b",,,,,,
"Kepler-879 b",,,,,,
"Kepler-1159 b",,,,,,
"Kepler-787 b",,,,,,
"Kepler-310 c",,,,,,
"Kepler-23 d",,,,,,
"Kepler-561 c",,,,,,
"Kepler-69 c",,,,,,
"Kepler-371 c",,,,,,
"Kepler-331 d",,,,,,
"Kepler-223 d",,,,,,
"Kepler-1204 b",,,,,,
"Kepler-1512 b",,,,,,
"Kepler-681 b",,,,,,
"Kepler-1453 b",,,,,,
"Kepler-42 d",,,,,,
"Kepler-306 c",,,,,,
"Kepler-263 b",,"17.9565000&plusmn;0.0125466","16.0900000&plusmn;0.0033266","15.3685000&plusmn;0.0035316","15.1046000&plusmn;0.0035805","14.9785000&plusmn;0.0046952"
"Kepler-1170 b",,,,,,
"Kepler-1531 b",,"15.1237000&plusmn;0.0053682","12.9572000&plusmn;0.0040396","15.2024000&plusmn;0.0129755","14.5273000&plusmn;0.0123354","13.3651000&plusmn;0.0055851"
"Kepler-712 b",,,,,,
"Kepler-665 b",,,,,,
"Kepler-936 b",,,,,,
"Kepler-363 d",,"15.8970000&plusmn;0.0063487","15.8793000&plusmn;0.0121241","13.3834000&plusmn;0.0025119","13.2330000&plusmn;0.0017851","13.4350000&plusmn;0.0059958"
"Kepler-1352 b",,,,,,
"Kepler-1220 b",,,,,,
"Kepler-1023 b",,,,,,
"Kepler-983 b",,,,,,
"Kepler-741 b",,,,,,
"Kepler-377 b",,,,,,
"Kepler-1003 b",,,,,,
"Kepler-241 c",,,,,,
"Kepler-1113 b",,"16.8197000&plusmn;0.0080615","15.2885000&plusmn;0.0030061","14.7170000&plusmn;0.0032956","14.5202000&plusmn;0.0033202","14.431500&plusmn;0.004072"
"Kepler-211 c",,,,,,
"Kepler-235 e",,"19.885200&plusmn;0.042516","17.2989000&plusmn;0.0046179","15.9719000&plusmn;0.0039174","15.4016000&plusmn;0.0040805","15.1016000&plusmn;0.0049271"
"Kepler-228 c",,,,,,
"Kepler-1050 b",,,,,,
"Kepler-932 b",,,,,,
"Kepler-121 c",,"17.0122000&plusmn;0.0084422","15.2827000&plusmn;0.0030411","14.6167000&plusmn;0.0034012","14.9690000&plusmn;0.0080469","14.2535000&plusmn;0.0038954"
"Kepler-655 b",,,,,,
"Kepler-201 c",,,,,,
"Kepler-217 c",,,,,,
"Kepler-745 b",,"17.1908000&plusmn;0.0088178","15.6542000&plusmn;0.0032241","15.1154000&plusmn;0.0032255","14.9422000&plusmn;0.0036657","14.8472000&plusmn;0.0048671"
"Kepler-1372 b",,,,,,
"Kepler-1639 b",,,,,,
"Kepler-649 b",,,,,,
"Kepler-383 b",,"18.2718000&plusmn;0.0161386","15.9767000&plusmn;0.0033959","14.9871000&plusmn;0.0034494","14.6389000&plusmn;0.0035336","14.438300&plusmn;0.004161"
"Kepler-639 b",,,,,,
"Kepler-84 d",,,,,,
"Kepler-1071 b",,,,,,
"Kepler-251 b",,,,,,
"Kepler-28 c",,,,,,
"Kepler-286 d",,,,,,
"Kepler-853 b",,,,,,
"Kepler-214 c",,,,,,
"Kepler-165 c",,,,,,
"K2-281 b",,"18.0823000&plusmn;0.0141977","15.6772000&plusmn;0.0030549","14.6918000&plusmn;0.0029487","14.361100&plusmn;0.002674","14.1941000&plusmn;0.0038518"
"Kepler-1246 b",,,,,,
"Kepler-224 e",,,,,,
"Kepler-270 c",,,,,,
"Kepler-1082 b",,,,,,
"Kepler-1253 b",,,,,,
"Kepler-1363 b",,,,,,
"Kepler-114 c",,,,,,
"Kepler-1251 b",,,,,,
"Kepler-961 b",,,,,,
"Kepler-727 b",,,,,,
"Kepler-907 b",,,,,,
"Kepler-1183 b",,,,,,
"Kepler-1258 b",,,,,,
"Kepler-1042 b",,,,,,
"Kepler-288 c",,"17.0466000&plusmn;0.0089288","15.6337000&plusmn;0.0031307","15.0933000&plusmn;0.0033426","14.8963000&plusmn;0.0034379","14.806800&plusmn;0.004559"
"Kepler-29 b",,,,,,
"Kepler-1564 b",,,,,,
"Kepler-1282 b",,,,,,
"Kepler-1171 b",,,,,,
"Kepler-816 b",,,,,,
"Kepler-1088 b",,,,,,
"Kepler-483 b",,,,,,
"Kepler-415 c",,,,,,
"Kepler-230 b",,,,,,
"Kepler-1333 b",,,,,,
"Kepler-578 b",,"16.7929000&plusmn;0.0078957","14.9823000&plusmn;0.0030457","14.3157000&plusmn;0.0030667","14.099400&plusmn;0.003273","14.0056000&plusmn;0.0039199"
"Kepler-1220 b",,,,,,
"Kepler-820 b",,,,,,
"Kepler-809 b",,,,,,
"Kepler-793 b",,,,,,
"Kepler-1233 b",,,,,,
"Kepler-1275 b",,,,,,
"Kepler-208 e",,,,,,
"Kepler-439 b",,,,,,
"Kepler-809 b",,,,,,
"Kepler-84 e",,,,,,
"Kepler-875 b",,,,,,
"Kepler-914 b",,,,,,
"Kepler-1589 b",,,,,,
"Kepler-1576 b",,,,,,
"Kepler-594 b",,,,,,
"Kepler-368 c",,,,,,
"Kepler-635 b",,,,,,
"Kepler-569 b",,,,,,
"Kepler-84 f",,,,,,
"Kepler-31 d",,,,,,
"Kepler-1323 b",,,,,,
"Kepler-1552 b",,,,,,
"Kepler-1256 b",,,,,,
"Kepler-443 b",,,,,,
"Kepler-928 b",,,,,,
"Kepler-175 b",,,,,,
"Kepler-327 c",,,,,,
"Kepler-1382 b",,,,,,
"Kepler-1263 b",,,,,,
"Kepler-980 b",,,,,,
"Kepler-1634 b",,,,,,
"Kepler-955 b",,,,,,
"Kepler-1398 c",,,,,,
"Kepler-244 d",,,,,,
"Kepler-28 b",,,,,,
"Kepler-1497 b",,,,,,
"Kepler-203 b",,,,,,
"Kepler-1451 b",,,,,,
"Kepler-282 c",,,,,,
"Kepler-1353 b",,,,,,
"Kepler-233 b",,,,,,
"Kepler-80 d",,,,,,
"Kepler-1387 b",,,,,,
"Kepler-1650 b",,,,,,
"Kepler-830 b",,,,,,
"Kepler-882 b",,,,,,
"Kepler-857 b",,,,,,
"Kepler-599 b",,,,,,
"Kepler-304 b",,,,,,
"Kepler-112 c",,,,,,
"Kepler-235 b",,"19.885200&plusmn;0.042516","17.2989000&plusmn;0.0046179","15.9719000&plusmn;0.0039174","15.4016000&plusmn;0.0040805","15.1016000&plusmn;0.0049271"
"Kepler-87 c",,,,,,
"Kepler-1077 b",,,,,,
"Kepler-1278 b",,,,,,
"Kepler-1055 b",,,,,,
"Kepler-1282 b",,,,,,
"Kepler-345 c",,,,,,
"Kepler-187 b",,,,,,
"Kepler-229 d",,,,,,
"Kepler-301 c",,,,,,
"Kepler-1262 b",,,,,,
"Kepler-1253 b",,,,,,
"Kepler-1474 b",,,,,,
"Kepler-1423 b",,,,,,
"Kepler-363 d",,"15.8970000&plusmn;0.0063487","15.8793000&plusmn;0.0121241","13.3834000&plusmn;0.0025119","13.2330000&plusmn;0.0017851","13.4350000&plusmn;0.0059958"
"Kepler-80 c",,,,,,
"Kepler-213 b",,,,,,
"Kepler-1231 b",,,,,,
"Kepler-1392 b",,,,,,
"Kepler-546 b",,,,,,
"Kepler-546 b",,,,,,
"Kepler-222 c",,,,,,
"Kepler-695 b",,,,,,
"Kepler-587 b",,,,,,
"Kepler-1385 b",,,,,,
"Kepler-1084 b",,,,,,
"Kepler-712 b",,,,,,
"Kepler-186 f",,,,,,
"Kepler-525 b",,,,,,
"Kepler-1578 b",,,,,,
"Kepler-446 c",,,,,,
"Kepler-1388 e",,,,,,
"Kepler-1465 b",,,,,,
"Kepler-930 b",,,,,,
"Kepler-87 c",,,,,,
"Kepler-1573 b",,,,,,
"Kepler-934 b",,,,,,
"Kepler-1081 b",,,,,,
"Kepler-1108 b",,,,,,
"Kepler-285 c",,,,,,
"Kepler-234 b",,,,,,
"Kepler-755 b",,,,,,
"Kepler-1411 b",,,,,,
"Kepler-961 b",,,,,,
"Kepler-597 b",,,,,,
"Kepler-399 d",,,,,,
"Kepler-878 b",,,,,,
"Kepler-600 b",,,,,,
"Kepler-81 b",,,,,,
"Kepler-553 c",,,,,,
"Kepler-1279 b",,,,,,
"Kepler-81 c",,,,,,
"Kepler-277 c",,"15.4529000&plusmn;0.0050516","14.7235000&plusmn;0.0073722","13.5345000&plusmn;0.0027619","13.8836000&plusmn;0.0078236","13.4571000&plusmn;0.0046273"
"Kepler-1344 b",,,,,,
"Kepler-118 c",,,,,,
"Kepler-296 f",,,,,,
"Kepler-233 c",,,,,,
"Kepler-786 b",,,,,,
"Kepler-300 c",,,,,,
"Kepler-123 c",,,,,,
"Kepler-259 b",,,,,,
"Kepler-251 e",,,,,,
"Kepler-674 b",,,,,,
"Kepler-819 b",,,,,,
"Kepler-190 b",,,,,,
"Kepler-687 b",,,,,,
"Kepler-199 b",,,,,,
"Kepler-31 b",,,,,,
"Kepler-80 e",,,,,,
"Kepler-1642 c",,,,,,
"Kepler-1473 b",,,,,,
