pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"Wolf 327 b","M2.5 V","16.6342000&plusmn;0.0082649","15.6776000&plusmn;0.0145199","14.8390000&plusmn;0.0112747","14.9466000&plusmn;0.0132925","11.0601000&plusmn;0.0014384"
"HD 118203 b",,,,,,
"HD 118203 b",,,,,,
"HD 47366 c",,,,,,
"eps Tau b",,,,,,
"HD 190007 b",,,,,,
"HD 99492 b",,,,,,
"HD 40307 b","K2.5 V",,,,,
"HD 40307 d","K2.5 V",,,,,
"HD 40307 g","K2.5 V",,,,,
"OGLE-2019-BLG-1470L AB c",,,,,,
"HD 28185 b",,,,,,
"HD 125612 b",,,,,,
"HD 204313 b","G5 V",,,,,
"HD 43197 b","G8 V",,,,,
"GJ 676 A b","M0 V",,,,,
"HD 142 c",,,,,,
"GJ 676 A d","M0 V",,,,,
"GJ 676 A e","M0 V",,,,,
"HD 168443 b","G5",,,,,
"HD 168443 c","G5",,,,,
"HD 183263 b",,,,,,
"HD 38529 b",,,,,,
"HD 74156 c",,,,,,
"HD 168443 b",,,,,,
"HD 183263 b",,,,,,
"HD 38529 b",,,,,,
"HD 28185 b","G5",,,,,
"HD 38529 b","G4 IV",,,,,
"HD 38529 c","G4 IV",,,,,
"HD 74156 b","G0",,,,,
"HD 74156 c","G0",,,,,
"kap CrB b",,,,,,
"HD 99492 c","K2 V",,,,,
"HD 99492 b","K2 V",,,,,
"HD 190007 b","K4 V",,,,,
"HD 2952 b","K0 III",,,,,
"HD 4732 b","K0 IV",,,,,
"HD 4732 c","K0 IV",,,,,
"75 Cet b","G3 III",,,,,
"75 Cet c","G3 III",,,,,
"81 Cet b","G5 III",,,,,
"eps Tau b","K0 III",,,,,
"HD 32518 b","K1 III",,,,,
"6 Lyn b","K0 IV",,,,,
"omi UMa b","G4 II-III",,,,,
"4 UMa b","K1 III",,,,,
"HD 81688 b","K0 III-IV","13.0932000&plusmn;0.0039422","10.9213000&plusmn;0.0039214","9.3190600&plusmn;0.0061369","8.7183400&plusmn;0.0069218","7.8516900&plusmn;0.0015327"
"HD 104985 b","G9 III",,,,,
"24 Boo b","G3 IV",,,,,
"omi CrB b","K0 III",,,,,
"ome Ser b","G8 III",,,,,
"HD 145457 b",,,,,,
"nu Oph c","K0 III",,,,,
"HD 167042 b","K1 IV",,,,,
